node_id,node_text,cluster_id
0,"The goal is to satisfy the following conditions: shot1 contains cocktail1. , shot2 contains ingredient2. ",0
1,The goal is to satisfy the following conditions: shot2 contains cocktail3. ,1
2,The goal is to satisfy the following conditions: shot3 contains cocktail3. ,1
3,The goal is to satisfy the following conditions: shot1 contains cocktail1. ,2
4,"The goal is to satisfy the following conditions: shot1 contains cocktail2. , shot2 contains cocktail3. ",3
5,"The goal is to satisfy the following conditions: shot1 contains cocktail4. , shot2 contains cocktail1. ",3
6,"The goal is to satisfy the following conditions: shot1 contains cocktail3. , shot2 contains cocktail2. ",3
7,The goal is to satisfy the following conditions: shot1 contains cocktail5. ,2
8,The goal is to satisfy the following conditions: shot1 contains cocktail4. ,2
9,"The goal is to satisfy the following conditions: shot1 contains cocktail5. , shot2 contains cocktail1. ",3
10,"The goal is to satisfy the following conditions: shot1 contains cocktail2. , shot7 contains ingredient3. ",0
11,The goal is to satisfy the following conditions: shot1 contains ingredient1. ,4
12,"The goal is to satisfy the following conditions: shot2 contains ingredient2. , shot3 contains ingredient3. ",4
13,"The goal is to satisfy the following conditions: shot1 contains ingredient1. , shot2 contains cocktail3. ",0
14,"The goal is to satisfy the following conditions: shot1 contains ingredient1. , shot2 contains ingredient2. , shot3 contains ingredient3. ",4
15,"The goal is to satisfy the following conditions: shot1 contains cocktail1. , shot2 contains ingredient3. ",0
16,"The goal is to satisfy the following conditions: shot3 contains ingredient3. , shot6 contains ingredient2. , shot9 contains ingredient1. ",4
17,The goal is to satisfy the following conditions: shot1 contains cocktail6. ,2
18,"The goal is to satisfy the following conditions: b2 is on b1., b3 is on b2.",5
19,"The goal is to satisfy the following conditions: b1 is on b7., b2 is on b5., b3 is on b2., b4 is on b1., b5 is on b6., b7 is on b3.",6
20,"The goal is to satisfy the following conditions: b2 is on b3., b3 is on b1.",5
21,"The goal is to satisfy the following conditions: b2 is on b1., b3 is on b4.",7
