node_id,node_text,cluster_id
0,Claim: Colin Kaepernick became a starting quarterback during the 49ers 63rd season in the National Football League.,0
1,Claim: Tilda Swinton is a vegan.,1
2,Claim: Fox 2000 Pictures released the film Soul Food.,2
3,Claim: Anne Rice was born in New Jersey.,3
4,Claim: Telemundo is a English-language television network.,4
5,Claim: Damon Albarn's debut album was released in 2011.,2
6,Claim: There is a capital called Mogadishu.,5
7,Claim: Savages was exclusively a German film.,6
8,Claim: Happiness in Slavery is a gospel song by Nine Inch Nails.,2
9,Claim: Andrew Kevin Walker is only Chinese.,7
10,Claim: Shooter is about an expert marksman who tries to stop the assassination of the president.,1
11,Claim: House is a sitcom.,1
12,Claim: The Cretaceous ended.,1
13,Claim: Murda Beatz's real name is Marshall Mathers.,2
14,Claim: Nicholas Brody is a character on Homeland.,1
15,Claim: Charles Manson has been proven innocent of all crimes.,8
16,Claim: Sean Penn is only ever a stage actor.,1
17,Claim: Don Bradman retired from soccer.,9
18,Claim: L.A. Reid has served as the CEO of Arista Records for four years.,10
19,Claim: Brad Wilk helped co-found Rage in 1962.,9
20,Claim: CBS is the network that aired The Millers.,1
21,Claim: Annette Badland was in the 2015 NBA Finals.,11
22,Claim: Edgar Wright is a person.,1
23,Claim: Ann Richards was professionally involved in politics.,12
24,Claim: Drake Bell put out an EP.,2
25,Claim: Janet Leigh was incapable of writing.,12
26,Claim: Simón Bolívar is only known as Simón Bolívar.,7
27,Claim: Bermuda Triangle is in the western part of the Himalayas.,13
28,Claim: Colin Kaepernick became a starter during the 49ers 63rd season in the Republican Party.,0
29,"Claim: Marnie was directed by someone who was ""The Master of Nothing"".",14
30,Claim: Advertising is a personal message.,15
31,Claim: Hot Right Now is mistakenly attributed to DJ Fresh.,2
32,Claim: Private Lives is a three act play from 1930.,16
33,Claim: Giada at Home was only available on DVD.,1
34,"Claim: Harold Macmillan was born on February 20, 1894.",17
35,Claim: Aristotle spent time in Athens.,1
36,Claim: David Packouz refused to be an entrepreneur.,7
37,Claim: Magic Johnson did not play for the Lakers.,11
38,Claim: Tenacious D started in 1997.,2
39,Claim: James VI and I was a major advocate of a single parliament for Scotland and England.,18
40,Claim: Marcus Bentley is a broadcaster.,9
41,Claim: Saxony is in Ireland.,18
42,Claim: In the End has baseball in it.,9
43,Claim: Mel B released a song on Virgin Records in 2007.,2
44,Claim: Noah Cyrus is a younger sister of Macy Grey.,1
45,Claim: Mohra is a truck.,5
46,Claim: Hourglass is performed by a Russian singer-songwriter.,6
47,Claim: Shane Black was born in 1961.,3
48,Claim: A View to a Kill is an action movie.,16
49,Claim: Papua comprised all of Indonesia.,19
50,"Claim: There are not rumors that Augustus' wife, Livia, poisoned him.",8
51,Claim: Jennifer Lopez made a single.,2
52,Claim: A working animal is trained to perform life saving tasks.,20
53,Claim: Billboard Dad is a genre of music.,21
54,Claim: Vedam was written and directed by Christopher Nolan.,16
55,Claim: Men in Black II stars eight children.,3
56,Claim: Sancho Panza is a character in Don Quixote.,1
57,Claim: Magic Johnson was a tap dancer.,11
58,Claim: The Adventures of Pluto Nash was reviewed by Ron Underwood.,1
59,Claim: Hedda Gabler's world premiere took place at the Battle of Hastings.,6
60,Claim: Brazzers is a company.,15
61,Claim: Tim Roth is an English actor.,1
62,Claim: Juventus F.C. rejected their traditional black-and-white-striped home uniform in 1903.,9
63,Claim: Ernest Medina participated in the My Lai Massacre.,19
64,Claim: Viola Davis appeared in Kate & Leopold as Darth Maul.,1
65,Claim: Jenna Jameson worked as a glamor model and a stripper.,3
66,Claim: New Orleans Pelicans compete in the National Football Association.,9
67,Claim: Caroline Kennedy is a Catholic.,22
68,Claim: Starrcade was an annual professional wrestling event that began in 1988.,1
69,Claim: Jack Falahee is a person who acts.,1
70,Claim: Seohyun is a dog.,20
71,Claim: Steve Wozniak was born after the Apple II came out.,3
72,Claim: A&E is a cable and satellite television network.,4
73,Claim: L.A. Reid has served as the president of a record label.,10
74,Claim: Veeram is something other than an Indian Tamil film.,16
75,Claim: Home for the Holidays stars an American actress.,1
76,Claim: Taran Killam is an American writer.,1
77,Claim: Jayasudha is an actor that stars in Daag.,16
78,Claim: XHamster's The Sex Factor forces eight men and eight women to battle to become a porn star.,3
79,"Claim: John Dolmayan was born on July 15, 1873.",17
80,Claim: Despicable Me 2 was directed by a lake.,16
81,Claim: Island Records is a music school.,21
82,Claim: Sikkim is a part of the World Bank.,19
83,Claim: Christa McAuliffe taught social studies at Concord High School.,22
84,Claim: Ron Weasley is a President.,1
85,Claim: Reign Over Me was released in 2017.,2
86,Claim: Colin Kaepernick is a poker player.,0
87,Claim: Sheryl Lee has yet to appear in a film as of 2016.,1
88,Claim: Matteo Renzi is German.,6
89,Claim: The Road to El Dorado stars Tim Allen.,9
90,Claim: The highest point of the Hindu Kush is Everest.,13
91,Claim: Same Old Love is disassociated from Selena Gomez.,2
92,Claim: The heart beats at a resting rate close to 22 beats per minute.,6
93,Claim: Weekly Idol is hosted by Yoo Jae Suk.,2
94,Claim: Heavy Metal music was developed in the early 1970's.,21
95,Claim: Bermuda Triangle is also known by another name.,13
96,Claim: Ashton Kutcher was directed by George Clooney.,14
97,Claim: Topman has clothing outlets in six Irish cities and towns.,18
98,Claim: Wales' population changed.,18
99,Claim: Tool has won three Oscars.,16
